order_item_id,order_id,product_id,quantity,unit_price,total_price,customer_id,order_date,status,shipping_city,shipping_state,first_name,last_name,email,city,state,created_at,product_name,category_id,supplier_id,price,stock_quantity,category_name,supplier_name,contact_email,country,payment_id,payment_date,amount,payment_method,currency
4594,1519,54,5,19.83,99.15,755,24-Sep-2022,shipped,Philadelphia,CA,Charles,Williams,user755@gmail.com,San Antonio,CA,17/09/2020,Classic Keyboard,7,31,19.83,124,Beauty & Personal Care,Midwest Fashion Group,contact31@midwestfashiongroup.com,USA,2009,20/11/2022,587.6,Credit Card,USD
4382,606,117,1,233.45,233.45,109,18-Mar-2022,delivered,San Diego,TX,Sarah,Miller,user109@gmail.com,Chicago,CA,25/09/2020,Eco Toy Car,11,28,233.45,745,Office Supplies,OfficeBox Distributors,contact28@officeboxdistributors.com,USA,911,16/11/2022,270.92,Credit Card,USD
3780,719,148,1,413.63,413.63,590,26-Sep-2022,shipped,San Jose,TX,Joseph,Lopez,user590@gmail.com,Chicago,NY,01/07/2020,Smart Vitamin Pack,3,35,413.63,577,Books,Urban Office Depot,contact35@urbanofficedepot.com,India,1073,03/03/2022,28.36,Cash on Delivery,USD
4260,1749,278,5,172.39,861.95,534,05-Mar-2022,processing,New York,TX,Michael,Hernandez,user534@gmail.com,Chicago,PA,03/07/2020,Compact Toy Car,4,34,172.39,882,Clothing,Lifestyle Brands Co,contact34@lifestylebrandsco.com,India,2515,19/12/2022,890.1,Cash on Delivery,USD
3758,2832,473,5,321.61,1608.05,917,06-Nov-2022,returned,Phoenix,TX,Richard,Garcia,user917@gmail.com,Phoenix,TX,19/07/2022,Portable Soccer Ball,10,14,321.61,480,Automotive,Northstar Clothing,contact14@northstarclothing.com,USA,1638,20/11/2022,348.51,PayPal,USD
3879,2644,447,2,242.95,485.9,863,06-Dec-2022,shipped,Chicago,CA,John,Smith,user863@gmail.com,Phoenix,AZ,18/04/2021,Classic Mixer,10,34,242.95,818,Automotive,Lifestyle Brands Co,contact34@lifestylebrandsco.com,India,2451,09/01/2022,376.87,PayPal,USD
3336,708,278,1,172.39,172.39,463,21-Jan-2022,shipped,Houston,AZ,Elizabeth,Garcia,user463@gmail.com,Dallas,NY,07/12/2022,Compact Toy Car,4,34,172.39,882,Clothing,Lifestyle Brands Co,contact34@lifestylebrandsco.com,India,1809,06/04/2022,67.64,Bank Transfer,USD
463,209,287,5,275.77,1378.85,656,18-Jan-2022,processing,San Antonio,TX,Charles,Anderson,user656@gmail.com,San Antonio,AZ,27/09/2020,Classic Notebook,14,28,275.77,246,Health,OfficeBox Distributors,contact28@officeboxdistributors.com,USA,2569,08/01/2022,436.22,Cash on Delivery,USD
414,1866,265,3,476.53,1429.59,146,24-May-2022,processing,Los Angeles,TX,Richard,Martinez,user146@gmail.com,Dallas,TX,13/11/2022,Smart Monitor,4,27,476.53,708,Clothing,AutoMax Supplies,contact27@automaxsupplies.com,USA,2175,09/03/2022,778.91,Credit Card,USD
1613,1403,332,2,206.13,412.26,230,13-Jul-2022,pending,New York,AZ,Joseph,Martinez,user230@gmail.com,New York,IL,03/03/2022,Rechargeable Mouse,13,27,206.13,680,Jewelry,AutoMax Supplies,contact27@automaxsupplies.com,USA,2719,14/05/2022,194.18,Bank Transfer,USD
2850,1215,15,3,483.8,1451.4,397,13-Sep-2022,returned,Los Angeles,AZ,Susan,Moore,user397@gmail.com,New York,IL,09/08/2021,Compact Notebook,7,15,483.8,374,Beauty & Personal Care,Sunrise Toys,contact15@sunrisetoys.com,India,168,25/12/2022,148.25,PayPal,USD
1367,2566,349,4,364.41,1457.64,893,18-Mar-2022,shipped,San Jose,CA,James,Moore,user893@gmail.com,San Antonio,AZ,20/05/2021,Adjustable T-Shirt,13,1,364.41,871,Jewelry,Global Tech Distributors,contact1@globaltechdistributors.com,China,1813,23/01/2022,959.74,Credit Card,USD
1352,1773,442,4,125.64,502.56,915,21-Jul-2022,processing,San Diego,TX,Jennifer,Hernandez,user915@gmail.com,San Diego,PA,23/04/2020,Classic Desk Lamp,14,24,125.64,479,Health,Pacific Sports,contact24@pacificsports.com,India,47,24/06/2022,526.68,Bank Transfer,USD
